날짜,모기활동지수,모기발생단계,평균기온,최저기온,최고기온,강수량,풍속,상대습도,현지기압
2020-01-01,5.5,쾌적,-2.2,-6.5,0.3,0.1,0.6,64.4,1021.1
2020-01-02,5.5,쾌적,1,-0.7,3.8,0,1.2,65.4,1018.7
2020-01-03,5.5,쾌적,-0.1,-3.4,4.6,0,1.7,56.9,1016.4
2020-01-04,5.5,쾌적,1.2,-2.8,6.1,0,1.9,50.8,1015.4
2020-01-05,5.5,쾌적,1.3,-3.2,6.6,0,1.1,45.6,1019.7
2020-01-06,5.5,쾌적,3.1,0.6,4.6,1.8,3.1,65.4,1015.3
2020-01-07,5.5,쾌적,6.3,4.2,7.7,46.3,4,95,999.3
2020-01-08,5.5,쾌적,2.4,-0.4,8.9,11.6,3.3,86.1,1003.6
2020-01-09,5.5,쾌적,-1.2,-3.1,2,0,2.3,65.3,1013.4
2020-01-10,5.5,쾌적,-0.6,-4.3,4.2,0,1.5,62.9,1013
2020-01-11,5.5,쾌적,-0.1,-2.6,3.9,0,1.9,60.9,1009.4
2020-01-12,5.5,쾌적,-1,-3.5,2.8,0,2.4,61.5,1007.5
2020-01-13,5.5,쾌적,-2.9,-4.7,0.2,0,2.3,51,1012.4
2020-01-14,5.5,쾌적,-2.3,-5.7,2.6,0,1.6,45.3,1015
2020-01-15,5.5,쾌적,-2.7,-6.4,2.2,0,1.9,44.8,1017.6
2020-01-16,5.5,쾌적,-1.7,-5.5,3.2,0,1.6,43,1016.3
2020-01-17,5.5,쾌적,-0.6,-4.8,4.9,0,1.5,43.9,1012.6
2020-01-18,5.5,쾌적,0.3,-4.1,5.9,0,1.8,48.1,1010.9
2020-01-19,5.5,쾌적,1.9,-0.4,5.3,0.6,2.2,62.8,1008
2020-01-20,5.5,쾌적,0.7,-3.3,5.5,0,2.5,46.8,1012.2
2020-01-21,5.5,쾌적,-0.4,-5.6,5.5,0,1.4,36.9,1018.8
2020-01-22,5.5,쾌적,3,-0.1,7.8,0,1.7,36,1014.6
2020-01-23,5.5,쾌적,4.6,0,9.9,0,2,49.3,1013.5
2020-01-24,5.5,쾌적,2.8,-1.3,7.4,0,1.7,63,1019.5
2020-01-25,5.5,쾌적,4.3,0.6,8.8,0,1.5,63.1,1018.7
2020-01-26,5.5,쾌적,5.5,-0.2,11.9,0,2.7,56.3,1016.5
2020-01-27,5.5,쾌적,5.9,4.8,7.5,0.1,4.6,48.1,1010.4
2020-01-28,5.5,쾌적,6.8,4.3,9.9,0,2.6,49.4,1007.7
2020-01-29,5.5,쾌적,6,3.2,9.6,0,2.1,46.4,1005.3
2020-01-30,5.5,쾌적,5.2,1.4,10.4,0,1.8,47,1004.4
2020-01-31,5.5,쾌적,3.9,1.4,8.9,0,2.3,59.6,1009
2020-02-01,5.5,쾌적,2.6,-1.2,7.6,0,1.7,66.6,1013.4
2020-02-02,5.5,쾌적,1.5,-2.1,5.3,0,1.8,52.3,1014.7
2020-02-03,5.5,쾌적,-0.4,-2.9,3,0,3.1,43.6,1016.3
2020-02-04,5.5,쾌적,-1.6,-6,3.9,1.7,2.8,50.3,1015.8
2020-02-05,5.5,쾌적,-8.3,-11,-4.9,0,3.3,37.3,1021
2020-02-06,5.5,쾌적,-6.4,-11.8,0.4,0,1.9,36.4,1023
2020-02-07,5.5,쾌적,-1.7,-7.2,2.2,0,2,45.1,1018.5
2020-02-08,5.5,쾌적,-0.1,-2.3,3.7,0,3,48.1,1016.7
2020-02-09,5.5,쾌적,-0.5,-5.6,4.1,0,2,51.1,1014.6
2020-02-10,5.5,쾌적,4,-0.7,9.6,0,1.7,49.4,1013.4
2020-02-11,5.5,쾌적,6.8,-0.5,14.6,0,1.6,37,1016.3
2020-02-12,5.5,쾌적,7.4,6.5,8.2,6.7,2.2,73.4,1006.4
2020-02-13,5.5,쾌적,6.5,4.9,8.7,0,1.7,84.8,1008.8
2020-02-14,5.5,쾌적,8.1,3.2,14.7,0,1.2,70.3,1010.4
2020-02-15,5.5,쾌적,9.8,6.2,15.6,2,2.7,63,1007.3
2020-02-16,5.5,쾌적,-1.4,-4.3,7.7,13.4,4,81.1,1002.6
2020-02-17,17.7,쾌적,-5.9,-7.1,-3.9,1,3.4,64.3,1007.4
2020-02-18,13.8,쾌적,-4.1,-8.3,1.3,0,2.3,44,1016.7
2020-02-19,19.1,쾌적,1,-4.4,6.4,0,1.5,56.8,1019.3
2020-02-20,19.1,쾌적,4.6,-0.6,10.8,0,1.7,62.6,1022.6
2020-02-21,19.1,쾌적,6.7,2.1,10.9,4.2,2.2,66.3,1018.5
2020-02-22,19.1,쾌적,4,0,7.9,3.1,4,62,1014.2
2020-02-23,19.1,쾌적,2.5,-2.5,8,0,2,48.6,1018.2
2020-02-24,19.1,쾌적,7,0.8,12.2,0,1.6,51.8,1013.6
2020-02-25,19.1,쾌적,6.7,4.7,9.4,16.6,4.2,73.5,1007.4
2020-02-26,19.1,쾌적,6.4,2.8,10.4,0,2.1,59.6,1012.7
2020-02-27,19.1,쾌적,6.1,1.3,12.5,0,2,54,1017
2020-02-28,19.1,쾌적,4.5,3.6,5.9,3.9,1.4,79.4,1011.9
2020-02-29,19.1,쾌적,7.7,4.5,13,0.5,1.7,68.6,1007.7
2020-03-01,19.1,쾌적,5.8,3.2,10.1,0.2,2,71.8,1007.9
2020-03-02,19.1,쾌적,3.4,0,7.6,0,2.7,55.3,1013.1
2020-03-03,19.2,쾌적,4.8,0.3,10.5,0,2.6,57,1013.3
2020-03-04,19.1,쾌적,2.2,-1.3,4.6,0,3.7,53.4,1011.4
2020-03-05,19.1,쾌적,1.4,-2.8,6.3,0,2.5,47.5,1014.5
2020-03-06,19.1,쾌적,3.7,-2.5,10.1,0,1.6,46.8,1011.7
2020-03-07,19.3,쾌적,7,1.3,14.2,0,2,39.5,1007.5
2020-03-08,19.1,쾌적,9.3,2.3,16.9,0,1.6,43.8,1008
2020-03-09,19.1,쾌적,11.1,4.8,17.6,0,1.8,37.6,1003.6
2020-03-10,19.1,쾌적,6.4,3.2,10.8,11.8,2.8,78.4,997.6
2020-03-11,19.1,쾌적,3.8,0,8.3,0,3.3,41.8,1007.7
2020-03-12,19.1,쾌적,6.8,0.2,13.3,0,2.5,49.8,1010.9
2020-03-13,19.1,쾌적,4.9,-0.1,8.7,0.5,3.3,41,1011.3
2020-03-14,19.1,쾌적,3.6,-2.7,8.6,0,3,48.1,1005
2020-03-15,19.1,쾌적,4,0.2,8.5,0,3.6,48.3,1001.4
2020-03-16,19.1,쾌적,3.6,-2.1,9.1,0,2.8,42.4,1011.4
2020-03-17,19.1,쾌적,6.6,3.1,12.3,0,2.1,65.8,1005
2020-03-18,19.1,쾌적,10,2.7,17,0,1.8,45.8,1002.6
2020-03-19,19.1,쾌적,9.1,5.8,12.1,0,4.8,49,995.6
2020-03-20,19.1,쾌적,8.8,3.1,14,0,3.1,39.6,1003.3
2020-03-21,19.1,쾌적,12.8,7.9,19.5,0,2,56.5,1001.3
2020-03-22,19.1,쾌적,11,6.1,16.5,0,3,37.5,1004
2020-03-23,19.1,쾌적,10.6,5.4,17,0,1.9,37.9,1006.7
2020-03-24,19.1,쾌적,11.4,5.3,17.9,0,1.8,35,1009.8
2020-03-25,19.1,쾌적,12.5,6.1,19.2,0,1.9,33.6,1009.7
2020-03-26,19.1,쾌적,14.8,8.1,20.6,1.8,1.9,53.8,1004.9
